,GaugeID,Network,Station,Latitude,Longitude
0,gauge_2,USCRN,Mercury_3_SSW,36.624,-116.0225
1,gauge_3,USCRN,Los_Alamos_13_W,35.8584,-106.5214
2,gauge_4,USCRN,Tucson_11_W,32.2395,-111.1696
3,gauge_5,USCRN,Dinosaur_2_E,40.2446,-108.9677
4,gauge_6,USCRN,Elgin_5_S,31.5907,-110.5087
5,gauge_7,USCRN,Merced_23_WSW,37.2381,-120.8825
6,gauge_8,USCRN,Lafayette_13_SE,30.0918,-91.8731
7,gauge_9,USCRN,Santa_Barbara_11_W,34.4141,-119.8796
8,gauge_10,USCRN,Shabbona_5_NNE,41.843,-88.8513
9,gauge_11,USCRN,Whitman_5_ENE,42.068,-101.445
10,gauge_12,USCRN,Joplin_24_N,37.4277,-94.5829
11,gauge_13,USCRN,Stillwater_2_W,36.1181,-97.0914
12,gauge_14,USCRN,Champaign_9_SW,40.0528,-88.3729
13,gauge_15,USCRN,Yosemite_Village_12_W,37.7592,-119.8208
14,gauge_16,USCRN,Ithaca_13_E,42.4401,-76.2462
15,gauge_17,USCRN,Millbrook_3_W,41.7857,-73.7422
16,gauge_18,USCRN,Chillicothe_22_ENE,39.8668,-93.147
17,gauge_19,USCRN,Goodwell_2_SE,36.5682,-101.6097
18,gauge_20,USCRN,Socorro_20_N,34.3557,-106.8859
19,gauge_21,USCRN,Murphy_10_W,43.2044,-116.7505
20,gauge_22,USCRN,Austin_33_NW,30.6222,-98.0846
21,gauge_23,USCRN,Batesville_8_WNW,35.8201,-91.7812
22,gauge_24,USCRN,Bedford_5_WNW,38.8882,-86.5707
23,gauge_25,USCRN,Avondale_2_N,39.8593,-75.7861
24,gauge_26,USCRN,Stillwater_5_WNW,36.1346,-97.1082
25,gauge_27,USCRN,Yuma_27_ENE,32.835,-114.1884
26,gauge_28,USCRN,Asheville_13_S,35.4185,-82.5567
27,gauge_29,USCRN,John_Day_35_WNW,44.556,-119.6459
28,gauge_30,USCRN,Stovepipe_Wells_1_SW,36.602,-117.1449
29,gauge_31,USCRN,Panther_Junction_2_N,29.3483,-103.2093
30,gauge_32,USCRN,Fallbrook_5_NE,33.4392,-117.1904
31,gauge_33,USCRN,Des_Moines_17_E,41.5562,-93.2855
32,gauge_34,USCRN,La_Junta_17_WSW,37.8639,-103.8224
33,gauge_35,USCRN,Bodega_6_WSW,38.3208,-123.0747
34,gauge_36,USCRN,Durham_11_W,35.9705,-79.0931
35,gauge_37,USCRN,Newton_5_ENE,32.3378,-89.0703
