system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,EndDate,PointIndex,StartDate,VH,VV,angle,coordinates,elevation,fc,landcover,ssm,.geo
00000000000000000000_0,1880.777056,39.52759726,2778.821507,2328.130572,1769.373813,1732.53366,2046.317204,2122.116987,2214.167703,2317.261298,2267.571056,2392.237009,1194.655662,2019-01-11T00:00:00,0,2019-01-01T00:00:00,-19.68086323,-10.88030635,35.07880059,"[-116.02250000000002, 36.624]",-2,14.75700985,52,6.303104877,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_1,2020.980126,138.8673099,2690.347415,2256.163991,1892.76747,1847.064195,2121.373634,2187.483237,2266.623881,2376.290422,2290.955637,2466.442757,1066.562835,2019-01-21T00:00:00,1,2019-01-11T00:00:00,-22.19414481,-12.23766027,37.75585847,"[-116.02250000000002, 36.624]",-2,14.75700985,52,9.324529648,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_2,1889.562949,19.09271294,2869.567565,2430.235685,1794.907646,1791.462118,2094.576994,2169.216947,2286.092408,2365.449906,2292.914707,2471.966657,1037.055195,2019-01-31T00:00:00,2,2019-01-21T00:00:00,-21.93838457,-12.8006238,37.75440507,"[-116.02250000000002, 36.624]",-2,14.75700985,52,5.065340996,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_3,1860.642059,37.39069407,2101.059614,1964.32497,1526.85378,1419.215573,1582.316026,1665.452752,1750.332503,1876.115819,1678.395198,2007.979819,1092.516247,2019-02-10T00:00:00,3,2019-01-31T00:00:00,-20.82706846,-13.45300017,43.1048308,"[-116.02250000000002, 36.624]",-2,14.75700985,52,8.373884201,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_4,2015.825578,89.01100426,2932.267744,2508.473191,1904.161358,1880.49725,2196.767049,2324.272395,2409.486933,2505.743776,2461.213367,2581.530282,1327.935967,2019-02-20T00:00:00,4,2019-02-10T00:00:00,-22.07640461,-13.71127836,37.75782493,"[-116.02250000000002, 36.624]",-2,14.75700985,52,8.321264267,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_5,1925.154579,101.21194,2887.092266,2481.977818,1844.600865,1877.229522,2183.180388,2254.013487,2374.363749,2473.267155,2415.559543,2547.272891,1211.415042,2019-03-02T00:00:00,5,2019-02-20T00:00:00,-21.28739179,-12.55531064,37.75600532,"[-116.02250000000002, 36.624]",-2,14.75700985,52,4.859238148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_6,2025.152326,22.0695347,2983.568592,2452.940823,1892.679528,1892.620787,2192.795437,2283.471393,2411.172391,2543.066253,2435.40878,2649.601429,1038.609306,2019-03-12T00:00:00,6,2019-03-02T00:00:00,-20.66699799,-10.23254033,35.07977715,"[-116.02250000000002, 36.624]",-2,14.75700985,52,8.80533886,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_7,1930.536435,31.7593796,3084.207988,2609.664825,1832.462995,1887.218848,2202.845429,2349.64152,2511.807072,2612.048557,2540.521951,2693.862133,1280.609306,2019-03-22T00:00:00,7,2019-03-12T00:00:00,-21.65851175,-12.0114856,37.75676255,"[-116.02250000000002, 36.624]",-2,14.75700985,52,6.986043453,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_8,1912.804653,87.79139589,2980.325893,2522.16838,1822.388015,1868.701067,2156.053891,2316.634523,2532.355693,2643.36746,2590.248223,2745.980015,1406.091045,2019-04-01T00:00:00,8,2019-03-22T00:00:00,-20.73569119,-11.75601507,37.75727754,"[-116.02250000000002, 36.624]",-2,14.75700985,52,4.304953098,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_9,1721.543021,94.5695347,2298.028212,1922.03348,1608.083821,1688.742696,1885.597273,1959.914088,2172.924887,2268.964381,2181.921608,2335.914856,976.877437,2019-04-11T00:00:00,9,2019-04-01T00:00:00,-20.58901325,-12.77815775,43.10273654,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.733866692,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_10,1894.42419,105.1192861,3088.550055,2468.758647,1934.571391,2021.63983,2296.241425,2481.766297,2708.298609,2859.018223,2913.126646,2924.783675,1315.980721,2019-04-21T00:00:00,10,2019-04-11T00:00:00,-20.58980424,-10.53303824,35.08680455,"[-116.02250000000002, 36.624]",-2,14.75700985,52,2.454595089,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_11,1731.814574,16.19426393,2370.669049,1903.222339,1593.251873,1588.639276,1763.958535,1875.217358,2067.926317,2198.398583,2098.167751,2261.224124,843.110389,2019-05-01T00:00:00,11,2019-04-21T00:00:00,-19.87140354,-10.76106925,37.75739696,"[-116.02250000000002, 36.624]",-2,14.75700985,52,3.353250504,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_12,1927.693181,21.80573607,3244.602121,2675.72435,1867.73798,1967.229982,2301.046233,2482.072943,2728.132416,2860.462264,2794.171547,2997.001551,1286.794732,2019-05-11T00:00:00,12,2019-05-01T00:00:00,-20.6422278,-10.7140676,35.0794262,"[-116.02250000000002, 36.624]",-2,14.75700985,52,4.447124004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000_13,1893.101551,19.33333333,3170.926455,2577.823045,1826.251448,1909.082852,2240.558917,2395.720351,2663.02315,2797.632052,2699.316108,2910.269588,1155.554111,2019-05-21T00:00:00,13,2019-05-11T00:00:00,-22.75336763,-12.58913589,37.75600222,"[-116.02250000000002, 36.624]",-2,14.75700985,52,3.35993576,"{""type"":""MultiPoint"",""coordinates"":[]}"
