,InSituSM
2019-01-01,0.06902162162162162
2019-01-11,0.07787763713080169
2019-01-21,0.06769787234042554
2019-01-31,0.0749126213592233
2019-02-10,0.08000518134715026
2019-02-20,0.07258247422680413
2019-03-02,0.08913025210084034
2019-03-12,0.08034468085106383
2019-03-22,0.06967932489451477
2019-04-01,0.06437394957983193
2019-04-11,0.051274261603375525
2019-04-21,0.041654008438818564
2019-05-01,0.06160416666666667
2019-05-11,0.08079324894514768
2019-05-21,0.06575949367088608
2019-05-31,0.048975
2019-06-10,0.03170338983050847
2019-06-20,0.025430379746835444
2019-06-30,0.02381012658227848
2019-07-10,0.023111587982832617
2019-07-20,0.023026315789473683
2019-07-30,0.022357758620689658
2019-08-09,0.019863829787234045
2019-08-19,0.018395833333333333
2019-08-29,0.018714285714285715
2019-09-08,0.01687394957983193
2019-09-18,0.015514893617021276
2019-09-28,0.013519148936170212
2019-10-08,0.011370212765957448
2019-10-18,0.011237500000000001
2019-10-28,0.007751091703056768
2019-11-07,0.0094364406779661
2019-11-17,0.04972532188841202
2019-11-27,0.08826521739130434
2019-12-07,0.08291025641025641
2019-12-17,0.0838935185185185
2019-12-27,0.07775121951219512
2020-01-06,0.06941436464088398
2020-01-16,0.06410822510822511
2020-01-26,0.0610945945945946
2020-02-05,0.057437209302325584
2020-02-15,0.06313157894736843
2020-02-25,0.06860416666666666
2020-03-06,0.07929059829059829
2020-03-16,0.08600440528634361
2020-03-26,0.07447058823529412
2020-04-05,0.0905857740585774
2020-04-15,0.078125
2020-04-25,0.06006666666666667
2020-05-05,0.03645416666666667
2020-05-15,0.026324999999999998
2020-05-25,0.025179166666666666
2020-06-04,0.02258823529411765
2020-06-14,0.022125523012552304
2020-06-24,0.022481171548117157
2020-07-04,0.021495833333333332
2020-07-14,0.0208109243697479
2020-07-24,0.019825
2020-08-03,0.01890212765957447
2020-08-13,0.01997907949790795
2020-08-23,0.058079831932773114
2020-09-02,0.034895833333333334
2020-09-12,0.025395833333333333
2020-09-22,0.023391666666666665
2020-10-02,0.020779166666666668
2020-10-12,0.019422594142259417
2020-10-22,0.016313559322033898
2020-11-01,0.016262222222222223
2020-11-11,0.014859574468085106
2020-11-21,0.013860869565217392
2020-12-01,0.012463963963963964
2020-12-11,0.01107035175879397
2020-12-21,0.011507389162561575
2020-12-31,0.015450236966824644
2021-01-10,0.01475
2021-01-20,0.04055555555555555
2021-01-30,0.06756277056277056
2021-02-09,0.05702553191489362
2021-02-19,0.05136486486486487
2021-03-01,0.04310389610389611
2021-03-11,0.05864655172413793
2021-03-21,0.04897916666666667
2021-03-31,0.036187500000000004
2021-04-10,0.0251125
2021-04-20,0.021729166666666667
2021-04-30,0.022456066945606694
2021-05-10,0.02180334728033473
2021-05-20,0.020025210084033615
2021-05-30,0.02147659574468085
2021-06-09,0.020373949579831935
2021-06-19,0.020919148936170213
2021-06-29,0.020561181434599157
2021-07-09,0.021695833333333334
2021-07-19,0.03335526315789474
2021-07-29,0.03834468085106383
2021-08-08,0.02335416666666667
2021-08-18,0.019691666666666666
2021-08-28,0.018599156118143462
2021-09-07,0.01806666666666667
2021-09-17,0.015410041841004184
2021-09-27,0.014263829787234042
2021-10-07,0.03685416666666667
2021-10-17,0.050878151260504205
2021-10-27,0.062362162162162164
2021-11-06,
2021-11-16,
2021-11-26,
2021-12-06,
2021-12-16,
2021-12-26,
2019-01-01,
2019-01-11,
2019-01-21,
2019-01-31,
2019-02-10,
2019-02-20,
2019-03-02,0.247
2019-03-12,0.2816666666666667
2019-03-22,0.3553972602739726
2019-04-01,0.33738255033557046
2019-04-11,0.29563636363636364
2019-04-21,0.2865260869565217
2019-05-01,0.28171428571428575
2019-05-11,0.29341666666666666
2019-05-21,0.2813921568627451
2019-05-31,0.2662436974789916
2019-06-10,0.17310548523206754
2019-06-20,0.09435169491525423
2019-06-30,0.12919583333333334
2019-07-10,0.10007083333333333
2019-07-20,0.12750434782608697
2019-07-30,0.14842916666666667
2019-08-09,0.087375
2019-08-19,0.0588
2019-08-29,0.05847210300429185
2019-09-08,0.07255882352941176
2019-09-18,0.10582819383259912
2019-09-28,0.09051769911504425
2019-10-08,0.1112857142857143
2019-10-18,0.0906948051948052
2019-10-28,0.09163076923076924
2019-11-07,0.09216455696202532
2019-11-17,0.12780555555555556
2019-11-27,
2019-12-07,
2019-12-17,
2019-12-27,
2020-01-06,
2020-01-16,
2020-01-26,0.19140000000000001
2020-02-05,0.192
2020-02-15,0.21740625
2020-02-25,0.21580434782608696
2020-03-06,0.2585769230769231
2020-03-16,0.2773252032520326
2020-03-26,0.26184146341463416
2020-04-05,0.25124858757062146
2020-04-15,0.25482828282828285
2020-04-25,0.23753813559322032
2020-05-05,0.1944891774891775
2020-05-15,0.11229661016949152
2020-05-25,0.0848103448275862
2020-06-04,0.12717521367521367
2020-06-14,0.07557383966244727
2020-06-24,0.04992887029288703
2020-07-04,0.042697478991596635
2020-07-14,0.049225961538461545
2020-07-24,0.10365800865800866
2020-08-03,0.0889875
2020-08-13,0.050899999999999994
2020-08-23,0.08972139303482586
2020-09-02,0.0810761421319797
2020-09-12,0.12171308016877637
2020-09-22,0.07383555555555556
2020-10-02,0.04798712446351931
2020-10-12,0.03984304932735426
2020-10-22,0.04160305343511451
2020-11-01,0.16272727272727272
2020-11-11,0.1748074074074074
2020-11-21,0.16455913978494624
2020-12-01,0.13
2020-12-11,
2020-12-21,
2020-12-31,
2021-01-10,
2021-01-20,
2021-01-30,
2021-02-09,
2021-02-19,
2021-03-01,
2021-03-11,0.17200000000000001
2021-03-21,0.24590625
2021-03-31,0.243234693877551
2021-04-10,0.2289074074074074
2021-04-20,0.2100157894736842
2021-04-30,0.18358695652173915
2021-05-10,0.1427280701754386
2021-05-20,0.10743103448275862
2021-05-30,0.14373931623931624
2021-06-09,0.07161666666666666
2021-06-19,0.07178242677824268
2021-06-29,0.20493305439330545
2021-07-09,0.21527615062761507
2021-07-19,0.23542105263157895
2021-07-29,0.20583333333333334
2021-08-08,0.11123849372384936
2021-08-18,0.08427916666666667
2021-08-28,0.06965833333333334
2021-09-07,0.03892916666666667
2021-09-17,0.024327510917030566
2021-09-27,0.09606167400881058
2021-10-07,0.11909550561797753
2021-10-17,0.0926340206185567
2021-10-27,0.09401851851851852
2021-11-06,
2021-11-16,
2021-11-26,
2021-12-06,
2021-12-16,
2021-12-26,
2019-01-01,0.11656828193832598
2019-01-11,0.07982083333333333
2019-01-21,0.05430125523012552
2019-01-31,0.09200843881856541
2019-02-10,0.089575
2019-02-20,0.10198660714285714
2019-03-02,0.06194583333333334
2019-03-12,0.086025
2019-03-22,0.039835443037974684
